end_date,state,days_left,pollster,sample_size,Captain America,Iron Man
2020-10-20,MT,14,Siena College/NYT Upshot,758,38.1,54
2020-10-25,NE,9,SurveyMonkey,1777,73,22
2020-10-31,PA,3,InsiderAdvantage,500,53,30
2020-10-19,WA,15,SurveyMonkey,7652,50,42
2020-10-19,AZ,15,RMG Research,800,49,36
2020-09-30,LA,34,SurveyMonkey,2475,56,42
2020-10-20,WI,14,SurveyMonkey,4513,48,47
2020-06-20,WI,136,Morning Consult,797,43,43
2020-10-29,MO,5,Remington,1010,46.6,53
2020-10-30,MN,4,Targoz Market Research,1138,51,44
2020-10-17,MT,17,SurveyMonkey,897,54.68,44
2020-10-25,PA,9,InsiderAdvantage,400,43,51
2020-10-13,WA,21,SurveyMonkey,7664,45,34
2020-07-31,MD,95,SurveyMonkey,1911,48,46.1
2020-10-27,GA,7,Monmouth U.,504,57,41
2020-07-31,NM,95,SurveyMonkey,904,49,48
2020-11-01,PA,2,Ipsos,673,56,32
2020-08-12,WI,83,Morning Consult,797,46,38
2020-09-30,MA,34,SurveyMonkey,2665,43,31
2020-10-27,MI,7,SurveyMonkey,7272,50,43
2020-10-05,AZ,29,HighGround,400,36,35
2020-09-28,SC,36,Data for Progress,824,41,43
2020-10-24,AZ,10,Patinkin Research Strategies,729,44,51
2020-10-31,GA,3,Morning Consult,1743,51,46
2020-10-25,WI,9,Marquette Law School,749,50,45
2020-10-22,DE,12,SurveyMonkey,1161,33,50
2020-10-17,MI,17,SurveyMonkey,5930,58,38.7
2020-09-22,TX,42,Siena College/NYT Upshot,653,39.5,51
2020-06-05,MN,151,Morning Consult,600,52,47
2020-10-20,MN,14,Civiqs,840,39,48
2020-09-04,PA,60,Susquehanna,498,52,44
2020-10-20,HI,14,SurveyMonkey,1054,49,32
2020-07-01,WI,125,Morning Consult,797,48,43
2020-10-17,CT,17,SurveyMonkey,2907,44,41
2020-07-31,AK,95,SurveyMonkey,412,40.2,49
2020-10-14,AK,20,Siena College/NYT Upshot,423,49,36
2020-11-01,LA,2,SurveyMonkey,1388,54.3,5
2020-10-22,SD,12,SurveyMonkey,910,43.9,53.08
2020-10-05,PA,29,Quinnipiac,1211,45,45
2020-10-21,OH,13,SurveyMonkey,7033,52,37
2020-07-24,ME,102,Colby College,888,44.1,54.92
2020-10-28,PA,6,Wick,1000,36,54.3
2020-09-08,FL,56,Benenson Strategy Group/GS Strategy Group,1600,50,49.15
2020-07-10,FL,116,YouGov,1206,54,44
2020-08-16,WI,79,Morning Consult,788,47,38
2020-10-18,ND,16,SurveyMonkey,490,49,36
2020-06-27,AZ,129,Gravis Marketing,527,42,45
2020-09-29,NY,35,Siena,504,43,44
2020-10-25,NM,9,SurveyMonkey,2584,47.6,42
2020-10-28,NJ,6,SurveyMonkey,6472,38,52
2020-10-22,NC,12,Trafalgar Group,1098,46.89,44.2
2020-10-29,VT,5,SurveyMonkey,749,35.2,41
2020-10-18,FL,16,SurveyMonkey,14184,50,42
2020-10-13,MS,21,SurveyMonkey,1118,44,40
2020-10-19,ND,15,SurveyMonkey,511,47,43.4
2020-10-25,AK,9,SurveyMonkey,1120,54,37
2020-10-14,WI,20,SurveyMonkey,4425,56,31
2020-09-30,GA,34,Landmark Communications,500,46,49
2020-07-07,TX,119,University of Texas at Tyler,1677,39,57
2020-10-30,ME,4,SurveyMonkey,1248,40,49
2020-10-29,ND,5,SurveyMonkey,399,45,35
2020-10-05,NJ,29,Fairleigh Dickinson,582,44,41
2020-10-27,MD,7,SurveyMonkey,5665,48.8,45
2020-08-23,NC,72,Morning Consult,1541,37,50
2020-07-07,AZ,119,OH Predictive Insights / MBQF,600,37,51
2020-10-27,RI,7,SurveyMonkey,863,61,32.56
2020-10-13,AR,21,SurveyMonkey,1311,43,45
2020-10-12,NV,22,SurveyMonkey,1915,39.5,47
2020-07-17,WI,109,Global Strategy Group,600,52,45.5
2020-06-29,AZ,127,Data Orbital,600,48,36
2020-09-06,MI,58,Change Research,876,42,41
2020-10-16,LA,18,SurveyMonkey,2413,38.57,48
2020-10-24,IN,10,SurveyMonkey,4382,39,43
2020-07-12,NJ,114,DKC Analytics,500,40,53
2020-08-08,AZ,87,Trafalgar Group,1013,48.91,39
2020-10-12,SD,22,SurveyMonkey,547,50,47
2020-10-28,AZ,6,SurveyMonkey,5687,44,44
2020-10-06,NC,28,Redfield & Wilton Strategies,938,47,49
2020-10-29,AK,5,SurveyMonkey,663,49,48
2020-11-01,OR,2,SurveyMonkey,3252,75,22
2020-10-11,NC,23,Monmouth U.,500,52,42
2020-10-18,KS,16,SurveyMonkey,2581,53,43
2020-10-05,TX,29,Data for Progress,1949,51.74,44
2020-10-25,IN,9,SurveyMonkey,4431,50,45
2020-07-31,TX,95,SurveyMonkey,13721,37,43.8
2020-09-02,GA,62,Opinion Insight,800,44.3,54
2020-11-02,NE,1,SurveyMonkey,1742,38,48
2020-10-26,NV,8,Siena College/NYT Upshot,809,47,41
2020-07-20,WI,106,Spry Strategies,700,47,47.1
2020-10-16,CT,18,SurveyMonkey,2862,52,46
2020-10-11,GA,23,Data for Progress,782,43,41
2020-10-31,AK,3,SurveyMonkey,614,49,41.95
2020-10-27,MT,7,SurveyMonkey,1401,53,43
2020-09-28,AZ,36,Susquehanna,500,42,41
2020-10-28,LA,6,SurveyMonkey,2633,49.5,43
2020-10-21,GA,13,Landmark Communications,500,46,51.91
2020-10-09,IA,25,YouGov,1035,39.6,48
2020-10-06,MI,28,Ipsos,709,47.3,42
2020-09-30,NM,34,SurveyMonkey,1015,48,41
2020-09-21,MI,43,YouGov,641,47,40
2020-10-28,NV,6,Gravis Marketing,688,43,44
2020-07-31,WI,95,SurveyMonkey,2173,34,49.1
2020-09-10,NV,54,Siena College/NYT Upshot,462,40,37
2020-09-30,ME,34,SurveyMonkey,729,51,31
2020-08-31,NY,64,SurveyMonkey,9969,41,44
2020-10-19,MI,15,SurveyMonkey,6222,46,43
2020-10-13,AZ,21,SurveyMonkey,5690,33,49
2020-11-02,WA,1,SurveyMonkey,4142,48,43
2020-10-15,PA,19,Harris Poll,992,44.9,52
2020-09-14,SC,50,Quinnipiac,969,48,43
2020-10-20,SC,14,SurveyMonkey,3943,37,38
2020-10-11,NC,23,Susquehanna,500,53.8,44
2020-10-11,WI,23,Siena College/NYT Upshot,789,51.5,48
2020-10-22,PA,12,SurveyMonkey,9615,46,46
2020-07-31,UT,95,SurveyMonkey,1037,43,28
2020-10-29,MN,5,SurveyMonkey,3011,49,43
2020-10-19,KS,15,SurveyMonkey,2718,50,37
2020-10-30,PA,4,Emerson College Polling Society,823,48,44.9
2020-10-25,FL,9,Florida Atlantic University,937,53,34
2020-10-12,OK,22,SurveyMonkey,1683,42,42.3
2020-10-20,KS,14,SurveyMonkey,2825,43,47.68
2020-09-13,FL,51,Monmouth U.,428,51.25,35
2020-10-17,WY,17,SurveyMonkey,553,40,48
2020-10-24,ME,10,SurveyMonkey,1743,39,51
2020-11-02,IL,1,SurveyMonkey,5643,48,47.5
2020-07-27,CA,99,UC Berkeley,6756,36,58
2020-10-26,VA,8,Swayable,351,43,57
2020-10-12,FL,22,SurveyMonkey,12604,30,44
2020-08-02,MT,93,Emerson College Polling Society,584,48.5,44
2020-10-15,MD,19,SurveyMonkey,4105,40,59
2020-10-27,MT,7,SurveyMonkey,1401,72,26
2020-10-18,CA,16,SurveyMonkey,22780,38,50
2020-10-24,ME,10,SurveyMonkey,1743,47,36
2020-11-01,NJ,2,Swayable,324,42,43
2020-09-11,WI,53,Morning Consult,797,44.4,38
2020-10-25,WI,9,ABC/Washington Post,809,49,46.5
2020-10-14,WI,20,SurveyMonkey,4425,42,42.62
2020-09-19,KY,45,Data for Progress,807,40,55
2020-10-27,PA,7,SurveyMonkey,10250,44.9,26.8
2020-11-01,ND,2,SurveyMonkey,370,55,42
2020-11-02,NM,1,SurveyMonkey,1481,45,38
2020-08-08,GA,87,SurveyUSA,623,42,55
2020-10-27,DE,7,SurveyMonkey,1288,49,46
2020-08-16,FL,79,Redfield & Wilton Strategies,1280,47,32
2020-10-16,NH,18,SurveyMonkey,1301,49,46.2
2020-06-11,MO,145,Remington,1152,56,37.5
2020-10-20,KS,14,Siena College/NYT Upshot,755,40,46
2020-10-31,CO,3,SurveyMonkey,2888,51,41
2020-08-23,WI,72,Morning Consult,797,52,42.03
2020-10-22,NE,12,SurveyMonkey,1643,57,37
2020-08-31,WI,64,Morning Consult,819,49,48.6
2020-09-20,GA,44,U. Georgia SPIA,1150,39,46
2020-10-31,PA,3,InsiderAdvantage,500,40,42
2020-11-02,FL,1,SurveyMonkey,8792,57,43
2020-11-01,FL,2,Quinnipiac,1657,40,50
2020-10-20,RI,14,SurveyMonkey,716,44,42
2020-10-14,CT,20,SurveyMonkey,2453,45,47
2020-10-22,GA,12,SurveyMonkey,6533,40.94,45
2020-09-21,GA,43,Siena College/NYT Upshot,523,47,39
2020-10-23,NM,11,SurveyMonkey,2519,44,41.2
2020-11-01,OH,2,Rasmussen (Pulse Opinion Research),800,44,43
2020-09-16,NJ,48,DKC Analytics,501,44,40.5
2020-08-09,WI,86,Change Research,384,40,6
2020-08-31,DE,64,SurveyMonkey,348,48,37.05
2020-11-01,GA,2,InsiderAdvantage,500,53.1,35
2020-10-28,PA,6,Wick,1000,36,44
2020-10-18,HI,16,SurveyMonkey,987,44.9,48
2020-10-13,TN,21,SurveyMonkey,3308,45,55
2020-10-27,IN,7,SurveyMonkey,4585,52,36
2020-07-07,TX,119,Gravis Marketing,591,39.7,43
2020-06-30,MA,126,SurveyMonkey,1091,46.9,43
2020-10-28,MI,6,Trafalgar Group,1058,38,45
2020-07-30,MI,96,EPIC/MRA,600,40,43.4
2020-10-05,TX,29,Data for Progress,1949,53,34
2020-10-21,SC,13,SurveyMonkey,4109,45,51
2020-10-31,PA,3,InsiderAdvantage,500,54,36
2020-07-07,AK,119,Alaska Survey Research,663,39,38.31
2020-08-04,WI,91,Morning Consult,797,52,42.7
2020-10-28,MD,6,SurveyMonkey,5820,54,42
2020-10-20,MD,14,SurveyMonkey,4780,58,32
2020-10-28,MI,6,SurveyMonkey,7541,40,32
2020-10-13,NV,21,SurveyMonkey,1958,49,48
2020-10-18,NV,16,SurveyMonkey,2492,54,36
2020-10-20,WI,14,RMG Research,800,51,42
2020-10-29,MT,5,SurveyMonkey,980,55,44
2020-10-30,NY,4,SurveyMonkey,5769,45.5,45
2020-09-13,AZ,51,Patinkin Research Strategies,679,49,51
2020-08-16,AZ,79,Morning Consult,947,63,36
2020-10-05,AZ,29,Data Orbital,550,44.7,38.8
2020-10-23,SD,11,SurveyMonkey,928,46,39.43
2020-10-30,WV,4,SurveyMonkey,805,45,38
2020-10-21,AL,13,SurveyMonkey,2985,42,47
2020-07-26,AZ,100,Morning Consult,908,42,42
2020-08-26,WI,69,Morning Consult,797,40,42.91
2020-10-11,PA,23,Morning Consult,2610,41,49
2020-06-27,AZ,129,Gravis Marketing,527,53,47
2020-10-28,NH,6,U. New Hampshire,864,40,42.2
2020-08-31,ND,64,SurveyMonkey,269,45,42
2020-11-01,IN,2,SurveyMonkey,2392,33.86,52
2020-06-30,OR,126,SurveyMonkey,872,47,49.2
2020-10-31,WI,3,Susquehanna,450,45.5,47.9
2020-07-24,WI,102,Morning Consult,797,44,49
2020-08-17,WI,78,Morning Consult,797,49,44
2020-07-31,MT,95,SurveyMonkey,527,39,50
2020-07-07,WI,119,Morning Consult,797,37,45
2020-09-03,PA,61,Redfield & Wilton Strategies,1053,48,39.6
2020-10-16,NE,18,SurveyMonkey,1339,48,50
2020-10-14,DC,20,SurveyMonkey,612,49,41
2020-10-29,NC,5,SurveyMonkey,5356,54,30
2020-10-16,MA,18,SurveyMonkey,4325,40,50
2020-07-16,WI,110,Morning Consult,797,39,46
2020-11-02,OR,1,SurveyMonkey,3543,41,42
2020-09-20,FL,44,Change Research,702,42,45
2020-10-12,NH,22,SurveyMonkey,1004,33.57,45
2020-10-20,MI,14,Morning Consult,1717,53,33
2020-09-20,NC,44,Change Research,579,43,50.4
2020-10-18,TN,16,SurveyMonkey,3973,56,34.9
2020-10-16,IL,18,SurveyMonkey,7441,48,34.67
2020-10-27,AK,7,SurveyMonkey,1131,45,31
2020-10-29,OH,5,SurveyMonkey,5092,44,46
2020-09-30,AZ,34,Suffolk,500,54,33
2020-10-31,MI,3,AtlasIntel,686,47,36
2020-07-21,FL,105,Redfield & Wilton Strategies,1121,38.36,46.09
2020-08-24,PA,71,Greenberg Quinlan Rosner,500,49.2,10
2020-10-15,HI,19,SurveyMonkey,896,45,41
2020-10-19,IN,15,SurveyMonkey,4001,38,46
2020-10-30,WY,4,SurveyMonkey,378,43.99,42
2020-10-15,AK,19,SurveyMonkey,835,32.76,54
2020-08-31,WI,64,Morning Consult,819,46,38
2020-08-31,OK,64,SoonerPoll.com,379,50,47.78
2020-10-14,TN,20,SurveyMonkey,3433,46,43.6
2020-10-15,WV,19,SurveyMonkey,914,52,44
2020-10-13,WI,21,Redfield & Wilton Strategies,691,43,43
2020-10-20,MA,14,SurveyMonkey,4820,45,49
2020-11-01,MT,2,SurveyMonkey,957,44.6,50.1
2020-08-07,WI,88,YouGov,994,42,36
2020-09-20,OK,44,Amber Integrated,500,56,44
2020-07-16,OH,110,Pulse Opinion Research,750,51,43
2020-10-28,DC,6,SurveyMonkey,969,53,35
2020-10-12,ND,22,SurveyMonkey,376,42,47
2020-08-18,AZ,77,Redfield & Wilton Strategies,856,50,38
2020-09-30,TX,34,SurveyMonkey,13395,39,47.6
2020-10-31,MI,3,Morning Consult,1736,53,36.6
2020-10-18,SC,16,SurveyMonkey,3666,49,42
2020-11-02,OR,1,SurveyMonkey,3543,54.6,33
2020-10-19,IA,15,SurveyMonkey,2539,43.2,28
2020-10-29,NC,5,Redfield & Wilton Strategies,1489,52,43
2020-10-21,WV,13,SurveyMonkey,1154,56,44
2020-11-01,AZ,2,Data for Progress,1195,50,39
2020-10-15,GA,19,SurveyMonkey,5376,49,44
2020-10-15,RI,19,SurveyMonkey,580,42,53
2020-10-05,PA,29,Emerson College Polling Society,688,57,39
2020-10-03,AZ,31,Siena College/NYT Upshot,655,48.8,45
2020-10-14,FL,20,Ipsos,653,55,37
2020-09-08,OR,56,"Davis, Hibbitts, & Midghall, Inc.",502,34.89,57
2020-10-20,MI,14,Ipsos,686,44,43
2020-10-27,KY,7,SurveyMonkey,3478,58,29
2020-08-09,MA,86,MassINC Polling Group,501,47.1,29.08
2020-09-21,NV,43,Anzalone Liszt Grove,800,42,45
2020-09-30,ME,34,SurveyMonkey,729,48,49
2020-10-14,DE,20,SurveyMonkey,848,50,44.3
2020-11-01,NE,2,SurveyMonkey,1666,39,56
2020-10-19,OH,15,Rasmussen (Pulse Opinion Research),800,53,44
2020-11-01,DE,2,SurveyMonkey,588,43.2,9
2020-10-15,NY,19,SurveyMonkey,9675,33,50
2020-10-25,MI,9,ABC/Washington Post,789,48,47
2020-10-19,WI,15,Ipsos,663,50,45
2020-07-23,AZ,103,Redfield & Wilton Strategies,858,37.73,36
2020-10-30,DC,4,SurveyMonkey,483,38,33.4
2020-09-20,WI,44,Change Research,571,38,38
2020-08-31,MD,64,SurveyMonkey,1813,56,42
2020-06-28,FL,128,Change Research,951,48,49
2020-09-11,NC,53,Trafalgar Group,1046,40,48
2020-09-25,NH,39,U. Massachusetts - Lowell,657,45,42
2020-09-07,AZ,57,Morning Consult,901,45,36
2020-10-30,WI,4,SurveyMonkey,2509,44,39
2020-07-24,MI,102,Redfield & Wilton Strategies,811,50.28,32
2020-10-05,FL,29,Quinnipiac,1256,51,40
2020-10-12,MS,22,SurveyMonkey,1063,42.16,44
2020-10-15,CO,19,RMG Research,800,50.3,43
2020-10-12,WA,22,SurveyUSA,591,63,24.130000000000003
2020-10-25,ID,9,SurveyMonkey,1679,43,49
2020-10-07,MT,27,Emerson College Polling Society,500,48,40
2020-11-02,CO,1,SurveyMonkey,2991,40,47
2020-09-15,VT,49,Braun,586,40,42.6
2020-11-02,CT,1,SurveyMonkey,2031,47,41
2020-10-30,UT,4,SurveyMonkey,1511,49,46
2020-06-18,WI,138,Marquette Law School,686,35,49
2020-10-04,FL,30,Suffolk,500,52.69,43
2020-11-01,NV,2,SurveyMonkey,2211,41,49
2020-10-19,PA,15,Quinnipiac,1241,49,48.36
2020-10-16,MO,18,SurveyMonkey,3702,48.14,35
2020-10-23,AZ,11,SurveyMonkey,5626,51,43
2020-08-16,FL,79,Morning Consult,3484,47,39
2020-10-20,TX,14,Morning Consult,3347,45,38.4
2020-10-19,MA,15,SurveyMonkey,4600,50,47
2020-11-01,NJ,2,Research Co.,450,67,26
2020-11-01,IA,2,Change Research,1084,48,42
2020-06-30,WI,126,Morning Consult,797,47,37
2020-10-16,DE,18,SurveyMonkey,952,52,34
2020-10-20,CA,14,SurveyMonkey,22989,44,46
2020-09-22,PA,42,Baldwin Wallace University/Oakland University/Ohio Northern University,1012,51.74,46
2020-10-16,CO,18,SurveyMonkey,4955,49,42
2020-10-22,OK,12,SurveyMonkey,2670,49,45
2020-10-18,KS,16,SurveyMonkey,2581,35.9,49
2020-10-06,WV,28,Research America Inc.,450,53,34
2020-08-03,IA,92,Monmouth U.,401,40,29
2020-10-29,CO,5,SurveyMonkey,2974,57,39.7
2020-10-28,AK,6,SurveyMonkey,1147,52,34.5
2020-07-31,MS,95,SurveyMonkey,733,46.1,50.6
2020-09-02,MI,62,Opinion Insight,800,33,44
2020-07-16,GA,110,Spry Strategies,701,49,43
2020-10-31,AZ,3,Morning Consult,1059,56,44
2020-10-20,UT,14,SurveyMonkey,2279,50,44.29
